barrels08,barrelsA08,charge120,charge240,city08,city08U,cityA08,cityA08U,cityCD,cityE,cityUF,co2,co2A,co2TailpipeAGpm,co2TailpipeGpm,comb08,comb08U,combA08,combA08U,combE,combinedCD,combinedUF,cylinders,displ,drive,engId,eng_dscr,feScore,fuelCost08,fuelCostA08,fuelType,fuelType1,ghgScore,ghgScoreA,highway08,highway08U,highwayA08,highwayA08U,highwayCD,highwayE,highwayUF,hlv,hpv,id,lv2,lv4,make,model,mpgData,phevBlended,pv2,pv4,range,rangeCity,rangeCityA,rangeHwy,rangeHwyA,trany,UCity,UCityA,UHighway,UHighwayA,VClass,year,youSaveSpend,guzzler,trans_dscr,tCharger,sCharger,atvType,fuelType2,rangeA,evMotor,mfrCode,c240Dscr,charge240b,c240bDscr,createdOn,modifiedOn,startStop,phevCity,phevHwy,phevComb
10.987,0,0,0,27,0,0,0,0,0,0,-1,-1,0,296.2333333333,30,0,0,0,0,0,0,4,1.6,Front-Wheel Drive,194,,-1,1100,0,Regular,Regular Gasoline,-1,-1,35,0,0,0,0,0,0,0,0,28829,0,12,Pontiac,G3 (5-Door),N,false,0,91,0,0,0,0,0,Manual 5-spd,34.8,0,48.9,0,Compact Cars,2010,1250,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
10.987,0,0,0,27,0,0,0,0,0,0,-1,-1,0,296.2333333333,30,0,0,0,0,0,0,4,1.6,Front-Wheel Drive,193,,-1,1100,0,Regular,Regular Gasoline,-1,-1,35,0,0,0,0,0,0,0,0,29282,7,0,Pontiac,G3 (3-Door),N,false,91,0,0,0,0,0,0,Manual 5-spd,34.8,0,48.9,0,Subcompact Cars,2010,1250,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
10.987,0,0,0,27,0,0,0,0,0,0,-1,-1,0,296.2333333333,30,0,0,0,0,0,0,4,1.6,Front-Wheel Drive,195,,-1,1100,0,Regular,Regular Gasoline,-1,-1,35,0,0,0,0,0,0,0,0,29284,0,7,Suzuki,Swift x,N,false,0,91,0,0,0,0,0,Manual 5-spd,34.8,0,48.9,0,Subcompact Cars,2010,1250,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
10.987,0,0,0,27,0,0,0,0,0,0,-1,-1,0,296.2333333333,30,0,0,0,0,0,0,4,1.6,Front-Wheel Drive,16,,-1,1100,0,Regular,Regular Gasoline,-1,-1,36,0,0,0,0,0,0,16,92,29293,0,12,Hyundai,Accent,Y,false,0,92,0,0,0,0,0,Automatic 4-spd,34.5,0,50.4,0,Compact Cars,2010,1250,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
10.987,0,0,0,28,0,0,0,0,0,0,-1,-1,0,296.2333333333,30,0,0,0,0,0,0,4,1.6,Front-Wheel Drive,17,,-1,1100,0,Regular,Regular Gasoline,-1,-1,34,0,0,0,0,0,0,16,92,29294,0,12,Hyundai,Accent,Y,false,0,92,0,0,0,0,0,Manual 5-spd,36.1,0,48.2,0,Compact Cars,2010,1250,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
10.987,0,0,0,27,0,0,0,0,0,0,-1,-1,0,296.2333333333,30,0,0,0,0,0,0,4,1.5,Front-Wheel Drive,15,,-1,1100,0,Regular,Regular Gasoline,-1,-1,33,0,0,0,0,0,0,21,91,29638,0,0,Honda,Fit,Y,false,0,0,0,0,0,0,0,Automatic (S5),35.2,0,47.4,0,Small Station Wagons,2010,1250,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
10.987,0,0,0,27,0,0,0,0,0,0,-1,-1,0,296.2333333333,30,0,0,0,0,0,0,4,1.6,Front-Wheel Drive,29,,-1,1100,0,Regular,Regular Gasoline,-1,-1,36,0,0,0,0,0,0,16,92,29713,0,12,Kia,Rio,N,false,0,92,0,0,0,0,0,Automatic 4-spd,34.8298,0,50.2669,0,Compact Cars,2010,1250,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
10.987,0,0,0,28,0,0,0,0,0,0,-1,-1,0,296.2333333333,30,0,0,0,0,0,0,4,1.8,Front-Wheel Drive,4,,-1,1100,0,Regular,Regular Gasoline,-1,-1,34,0,0,0,0,0,0,18,95,29866,0,14,Nissan,Versa,Y,false,0,94,0,0,0,0,0,Automatic (variable gear ratios),35.8,0,47.5,0,Midsize Cars,2010,1250,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
11.2407352941,0,0,0,30,0,0,0,0,0,0,-1,-1,0,299.4117647059,34,0,0,0,0,0,0,4,2,Front-Wheel Drive,79,,-1,1000,0,Diesel,Diesel,-1,-1,41,0,0,0,0,0,0,15,94,29406,0,0,Volkswagen,Golf,Y,false,0,0,0,0,0,0,0,Manual 6-spd,38.7511,0,58.535,0,Compact Cars,2010,1750,,,T,,Diesel,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
11.2407352941,0,0,0,30,0,0,0,0,0,0,-1,-1,0,299.4117647059,34,0,0,0,0,0,0,4,2,Front-Wheel Drive,75,,-1,1000,0,Diesel,Diesel,-1,-1,42,0,0,0,0,0,0,15,94,29407,0,0,Volkswagen,Golf,Y,false,0,0,0,0,0,0,0,Automatic (S6),38.8462,0,60.1,0,Compact Cars,2010,1750,,,T,,Diesel,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
11.2407352941,0,0,0,30,0,0,0,0,0,0,-1,-1,0,299.4117647059,34,0,0,0,0,0,0,4,2,Front-Wheel Drive,77,,-1,1000,0,Diesel,Diesel,-1,-1,41,0,0,0,0,0,0,0,0,29408,0,16,Volkswagen,Jetta,Y,false,0,91,0,0,0,0,0,Manual 6-spd,38.7511,0,58.535,0,Compact Cars,2010,1750,,,T,,Diesel,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
11.2407352941,0,0,0,30,0,0,0,0,0,0,-1,-1,0,299.4117647059,34,0,0,0,0,0,0,4,2,Front-Wheel Drive,74,,-1,1000,0,Diesel,Diesel,-1,-1,42,0,0,0,0,0,0,0,0,29409,0,16,Volkswagen,Jetta,Y,false,0,91,0,0,0,0,0,Automatic (S6),38.8462,0,60.1,0,Compact Cars,2010,1750,,,T,,Diesel,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
11.2407352941,0,0,0,30,0,0,0,0,0,0,-1,-1,0,299.4117647059,34,0,0,0,0,0,0,4,2,Front-Wheel Drive,76,,-1,1000,0,Diesel,Diesel,-1,-1,42,0,0,0,0,0,0,20,89,29414,0,0,Audi,A3,Y,false,0,0,0,0,0,0,0,Automatic (S6),38.8462,0,60.1,0,Small Station Wagons,2010,1750,,,T,,Diesel,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
11.2407352941,0,0,0,30,0,0,0,0,0,0,-1,-1,0,299.4117647059,34,0,0,0,0,0,0,4,2,Front-Wheel Drive,78,,-1,1000,0,Diesel,Diesel,-1,-1,41,0,0,0,0,0,0,0,0,29415,0,33,Volkswagen,Jetta SportWagen,Y,false,0,92,0,0,0,0,0,Manual 6-spd,38.7511,0,58.535,0,Small Station Wagons,2010,1750,,,T,,Diesel,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
11.2407352941,0,0,0,30,0,0,0,0,0,0,-1,-1,0,299.4117647059,34,0,0,0,0,0,0,4,2,Front-Wheel Drive,73,,-1,1000,0,Diesel,Diesel,-1,-1,42,0,0,0,0,0,0,0,0,29416,0,33,Volkswagen,Jetta SportWagen,Y,false,0,92,0,0,0,0,0,Automatic (S6),38.8462,0,60.1,0,Small Station Wagons,2010,1750,,,T,,Diesel,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
11.365862069,0,0,0,26,0,0,0,0,0,0,-1,-1,0,306.4482758621,29,0,0,0,0,0,0,4,1.8,Front-Wheel Drive,3,,-1,1150,0,Regular,Regular Gasoline,-1,-1,34,0,0,0,0,0,0,0,0,26376,0,12,Toyota,Corolla,Y,false,0,92,0,0,0,0,0,Automatic 4-spd,34.2,0,48.4,0,Compact Cars,2010,1000,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
